RecordedDate,comments,party_id,lean_party,r_loss,r_win
Recorded Date,Please leave any comments you may have in the box below.,"Generally speaking, do you think of yourself as a Republican, a Democrat, an Independent, or what?",Do you consider yourself closer to the Democratic or Republican party?,"Unfortunately, your selected candidate, [QID22-ChoiceGroup-SelectedChoices], lost the [QID1-ChoiceGroup-SelectedChoices] Party primary. 

Your candidate's opponent, [QID22-ChoiceGroup-UnselectedChoices] will represent the Republican Party in the General Election.","Congratulations! Your selected candidate, [QID22-ChoiceGroup-SelectedChoices], won the Republican Party primary. 

Your candidate, [QID22-ChoiceGroup-SelectedChoices], will represent the Republican Party in the General Election."
"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}"
2021-05-12 13:52:41,,3,3,,
2021-07-05 16:05:06,gd,1,,1,
2021-07-05 16:17:10,,1,,,
2021-07-05 16:18:19,,3,1,,
2021-07-05 16:18:57,,2,,,
2021-07-05 16:32:46,,1,,,1
2021-07-05 17:02:50,,2,,,
2021-07-05 17:53:42,,2,,,
2021-07-07 18:44:59,Hi rob! Check out the likert scale on the last page.,3,3,,
2021-07-08 07:04:43,,3,3,,
2021-08-18 13:07:50,,2,,,
2021-08-19 11:06:07,,1,,1,
2021-08-19 11:15:49,test,2,,,
2021-08-19 11:24:16,nice,2,,,
2021-08-19 11:40:04,good,1,,,
2021-08-19 11:50:04,I enjoyed the survey,2,,,
2021-08-19 11:55:31,survey is excellent of poitical party,2,,,
2021-08-19 11:56:56,none,2,,,
2021-08-19 12:10:35,good,3,3,,
2021-08-19 12:20:57,good,1,,,1
2021-08-19 12:29:39,nice,2,,,
2021-08-19 13:19:28,good,2,,,
2021-08-20 11:40:00,,3,3,,
2021-08-20 11:40:54,N/A,1,,,
2021-08-20 11:40:54,,2,,,
2021-08-20 11:41:19,,2,,,
2021-08-20 11:41:39,"Nothing ",2,,,
2021-08-20 11:41:42,none,2,,,
2021-08-20 11:41:45,,2,,,
2021-08-20 11:41:54,None,2,,,
2021-08-20 11:42:02,"GOOD ",2,,,
2021-08-20 11:42:10,No comments,1,,1,
2021-08-20 11:42:12,,1,,,
2021-08-20 11:42:17,good,1,,,
2021-08-20 11:42:20,no comments,2,,,
2021-08-20 11:42:21,,1,,,
2021-08-20 11:42:24,,2,,,
2021-08-20 11:42:26,AWESOME SURVEY,2,,,
2021-08-20 11:42:30,good,1,,1,
2021-08-20 11:42:37,,2,,,
2021-08-20 11:42:37,Interesting one,2,,,
2021-08-20 11:42:42,comfortable,2,,,
2021-08-20 11:42:43,good,1,,,1
2021-08-20 11:42:47,,2,,,
2021-08-20 11:42:51,nothing,1,,,
2021-08-20 11:42:57,good,1,,1,
2021-08-20 11:43:07,good,1,,,
2021-08-20 11:43:12,GOOD,1,,1,
2021-08-20 11:43:13,none,1,,1,
2021-08-20 11:43:15,Nothing,2,,,
2021-08-20 11:43:16,,3,1,,
2021-08-20 11:43:17,,2,,,
2021-08-20 11:43:17,,2,,,
2021-08-20 11:43:19,,3,2,1,
2021-08-20 11:43:22,very well,2,,,
2021-08-20 11:43:30,none,2,,,
2021-08-20 11:43:35,,2,,,
2021-08-20 11:43:37,very attractive,2,,,
2021-08-20 11:43:37,,2,,,
2021-08-20 11:43:40,no comments,1,,,
2021-08-20 11:43:41,,1,,,
2021-08-20 11:43:43,good questions,3,2,,1
2021-08-20 11:43:44,,2,,,
2021-08-20 11:43:46,Good,1,,1,
2021-08-20 11:43:49,good,2,,,
2021-08-20 11:43:52,,2,,,
2021-08-20 11:43:53,GOOD JOB,3,1,,
2021-08-20 11:43:53,,1,,1,
2021-08-20 11:44:01,GOOD,2,,,
2021-08-20 11:44:03,this survey is very interesting,2,,,
2021-08-20 11:44:05,nothing,1,,,
2021-08-20 11:44:05,none,4,3,,
2021-08-20 11:44:10,,3,3,,
2021-08-20 11:44:12,,2,,,
2021-08-20 11:44:12,good,1,,1,
2021-08-20 11:44:12,N/A,2,,,
2021-08-20 11:44:20,,2,,,
2021-08-20 11:44:23,good,3,1,,
2021-08-20 11:44:25,,3,1,,
2021-08-20 11:44:26,,2,,,
2021-08-20 11:44:28,good,2,,,
2021-08-20 11:44:37,,2,,,
2021-08-20 11:44:38,none,2,,,
2021-08-20 11:44:40,Nice and good survey,1,,,
2021-08-20 11:44:41,good,1,,1,
2021-08-20 11:44:43,good,3,2,,1
2021-08-20 11:44:44,No,2,,,
2021-08-20 11:44:45,good,1,,1,
2021-08-20 11:44:45,very interesting task,2,,,
2021-08-20 11:44:46,good,2,,,
2021-08-20 11:44:51,good,1,,,1
2021-08-20 11:44:52,VERY NICE AND EXCELLENT QUOTES...,2,,,
2021-08-20 11:44:54,good,2,,,
2021-08-20 11:44:54,good,1,,1,
2021-08-20 11:44:57,good,2,,,
2021-08-20 11:45:01,NONE,3,1,,
2021-08-20 11:45:01,NA,1,,,
2021-08-20 11:45:03,none,1,,,
2021-08-20 11:45:03,good,2,,,
2021-08-20 11:45:08,good,2,,,
2021-08-20 11:45:11,GOOD SURVEY,2,,,
2021-08-20 11:45:14,,2,,,
2021-08-20 11:45:16,OK,2,,,
2021-08-20 11:45:17,,4,1,,
2021-08-20 11:45:22,useful,1,,,1
2021-08-20 11:45:22,NONE,2,,,
2021-08-20 11:45:28,no,3,3,,
2021-08-20 11:45:29,Good Topic of Survey... Thank you,2,,,
2021-08-20 11:45:30,good,1,,1,
2021-08-20 11:45:30,good,2,,,
2021-08-20 11:45:41,very nice,1,,,
2021-08-20 11:45:42,good survey,1,,,
2021-08-20 11:45:43,nice,1,,,1
2021-08-20 11:45:45,nothing,2,,,
2021-08-20 11:45:46,,2,,,
2021-08-20 11:45:46,GOOD,1,,1,
2021-08-20 11:45:53,,1,,1,
2021-08-20 11:45:57,no comments,2,,,
2021-08-20 11:45:58,,3,3,,
2021-08-20 11:46:00,good,2,,,
2021-08-20 11:46:00,No comments,2,,,
2021-08-20 11:46:06,Nice,2,,,
2021-08-20 11:46:14,Good,2,,,
2021-08-20 11:46:16,,2,,,
2021-08-20 11:46:16,like,2,,,
2021-08-20 11:46:18,,2,,,
2021-08-20 11:46:25,good,2,,,
2021-08-20 11:46:28,very well,2,,,
2021-08-20 11:46:33,NICE STUDY,2,,,
2021-08-20 11:46:34,,2,,,
2021-08-20 11:46:36,good,2,,,
2021-08-20 11:46:40,good,2,,,
2021-08-20 11:46:41,nice survey,3,1,,
2021-08-20 11:46:43,"The survey is very interesting ",1,,,
2021-08-20 11:46:47,None,1,,,
2021-08-20 11:46:54,good,1,,,
2021-08-20 11:46:55,OK,2,,,
2021-08-20 11:47:03,survey is good,2,,,
2021-08-20 11:47:04,No comments,1,,,1
2021-08-20 11:47:06,good,2,,,
2021-08-20 11:47:08,nice,2,,,
2021-08-20 11:47:11,good and nice,2,,,
2021-08-20 11:47:14,Good Survey,2,,,
2021-08-20 11:47:22,Good,2,,,
2021-08-20 11:47:22,None,2,,,
2021-08-20 11:47:24,,2,,,
2021-08-20 11:47:26,No comments,2,,,
2021-08-20 11:47:32,good,2,,,
2021-08-20 11:47:32,survey is good,2,,,
2021-08-20 11:47:32,good,2,,,
2021-08-20 11:47:36,,2,,,
2021-08-20 11:47:39,good,2,,,
2021-08-20 11:47:39,None,1,,1,
2021-08-20 11:47:40,good,2,,,
2021-08-20 11:47:40,Good Survey,2,,,
2021-08-20 11:47:45,none,2,,,
2021-08-20 11:48:01,very well,2,,,
2021-08-20 11:48:06,good,2,,,
2021-08-20 11:48:10,,2,,,
2021-08-20 11:48:13,,1,,,1
2021-08-20 11:48:16,good,2,,,
2021-08-20 11:48:17,GOOD SURVEY,2,,,
2021-08-20 11:48:19,nice,1,,,1
2021-08-20 11:48:22,,2,,,
2021-08-20 11:48:31,good study,2,,,
2021-08-20 11:48:34,,2,,,
2021-08-20 11:48:48,like,2,,,
2021-08-20 11:48:50,,2,,,
2021-08-20 11:48:53,No,2,,,
2021-08-20 11:48:55,good,2,,,
2021-08-20 11:48:57,No comments,2,,,
2021-08-20 11:49:00,OK,2,,,
2021-08-20 11:49:01,No comments,2,,,
2021-08-20 11:49:01,,2,,,
2021-08-20 11:49:01,,2,,,
2021-08-20 11:49:09,This survey was good,2,,,
2021-08-20 11:49:27,no comment,1,,,1
2021-08-20 11:49:34,interesting one,2,,,
2021-08-20 11:49:35,Good survey and interesting.,2,,,
2021-08-20 11:49:39,no comments,1,,1,
2021-08-20 11:49:54,nice,3,2,1,
2021-08-20 11:50:03,good,2,,,
2021-08-20 11:50:05,GOOD,2,,,
2021-08-20 11:50:11,,2,,,
2021-08-20 11:50:13,GOOD,2,,,
2021-08-20 11:50:14,good study,1,,1,
2021-08-20 11:50:23,It's a quite informative survey,3,3,,
2021-08-20 11:50:34,none,2,,,
2021-08-20 11:50:34,None,1,,,
2021-08-20 11:50:36,No comments,1,,1,
2021-08-20 11:50:38,,2,,,
2021-08-20 11:50:45,NO COMMENTS,3,2,1,
2021-08-20 11:50:51,none,1,,,1
2021-08-20 11:50:53,good,1,,1,
2021-08-20 11:51:14,GOOD,3,2,,1
2021-08-20 11:51:42,None.,2,,,
2021-08-20 11:51:44,,2,,,
2021-08-20 11:51:46,,2,,,
2021-08-20 11:52:13,GOOD,2,,,
2021-08-20 11:52:21,Thank you,1,,,
2021-08-20 11:52:24,Nothing,1,,,
2021-08-20 11:52:28,,2,,,
2021-08-20 11:52:33,none,2,,,
2021-08-20 11:52:33,,2,,,
2021-08-20 11:52:41,"No comments ",1,,1,
2021-08-20 11:52:41,good,2,,,
2021-08-20 11:52:41,This study is good.,1,,1,
2021-08-20 11:52:50,Thanks for this survey,2,,,
2021-08-20 11:52:51,good,1,,,1
2021-08-20 11:52:58,none,2,,,
2021-08-20 11:53:08,Good,2,,,
2021-08-20 11:53:11,The survey was good,2,,,
2021-08-20 11:53:15,Good Study,2,,,
2021-08-20 11:53:34,no comments,1,,,1
2021-08-20 11:53:50,,2,,,
2021-08-20 11:53:52,None,2,,,
2021-08-20 11:53:56,good to work,2,,,
2021-08-20 11:54:02,,2,,,
2021-08-20 11:54:11,GOOD,2,,,
2021-08-20 11:54:13,I am happy to participate for this survey.,1,,,
2021-08-20 11:54:15,no comments,1,,,
2021-08-20 11:54:26,,2,,,
2021-08-20 11:54:32,,2,,,
2021-08-20 11:54:37,good,2,,,
2021-08-20 11:54:45,good,2,,,
2021-08-20 11:54:56,,2,,,
2021-08-20 11:55:04,none,2,,,
2021-08-20 11:55:23,good,2,,,
2021-08-20 11:55:35,no comments,1,,,
2021-08-20 11:55:36,,2,,,
2021-08-20 11:55:38,IN THIS STUDY WAS GOOD,2,,,
2021-08-20 11:55:40,,1,,,1
2021-08-20 11:55:45,no comments,1,,1,
2021-08-20 11:55:53,The survey was interesting. Thank you.,2,,,
2021-08-20 11:55:55,Very nice,2,,,
2021-08-20 11:56:06,,2,,,
2021-08-20 11:56:08,,2,,,
2021-08-20 11:56:15,good,2,,,
2021-08-20 11:56:17,I Like this survey,1,,,
2021-08-20 11:56:25,None,2,,,
2021-08-20 11:56:29,good,1,,,1
2021-08-20 11:57:01,,2,,,
2021-08-20 11:57:09,None.,2,,,
2021-08-20 11:57:24,,1,,,
2021-08-20 11:57:36,none,2,,,
2021-08-20 11:58:20,this survey was very interesting,2,,,
2021-08-20 11:58:21,,4,3,,
2021-08-20 11:58:34,The survey is very good,2,,,
2021-08-20 11:58:48,GOOD,2,,,
2021-08-20 11:58:52,very well,1,,1,
2021-08-20 11:58:55,good,1,,1,
2021-08-20 11:59:09,ITS GOOD,2,,,
2021-08-20 11:59:27,N/A,2,,,
2021-08-20 11:59:44,very well,2,,,
2021-08-20 11:59:44,VERY GOOD,2,,,
2021-08-20 12:00:16,nice study,2,,,
2021-08-20 12:00:20,no,2,,,
2021-08-20 12:00:34,none,2,,,
2021-08-20 12:00:40,,1,,,
2021-08-20 12:00:41,"GOOD ",1,,,1
2021-08-20 12:00:58,survey is excellent,2,,,
2021-08-20 12:01:14,The survey is very good,2,,,
2021-08-20 12:01:21,No candidate pages are shown.,3,3,,
2021-08-20 12:01:22,good,2,,,
2021-08-20 12:01:31,,2,,,
2021-08-20 12:02:37,,2,,,
2021-08-20 12:02:48,"political issues ",2,,,
2021-08-20 12:03:05,none,2,,,
2021-08-20 12:03:27,no comments,2,,,
2021-08-20 12:03:30,,2,,,
2021-08-20 12:03:45,It was a good survey,2,,,
2021-08-20 12:03:58,The survey is very interesting,1,,1,
2021-08-20 12:04:17,It was a good survey,2,,,
2021-08-20 12:04:26,good,1,,1,
2021-08-20 12:04:40,,2,,,
2021-08-20 12:04:42,GOOD,1,,,
2021-08-20 12:04:44,,3,3,,
2021-08-20 12:04:52,,2,,,
2021-08-20 12:05:17,excellent syrvey,2,,,
2021-08-20 12:05:19,None,2,,,
2021-08-20 12:06:18,GOOD,4,2,1,
2021-08-20 12:06:39,,2,,,
2021-08-20 12:06:44,None,2,,,
2021-08-20 12:07:01,nice survey,2,,,
2021-08-20 12:07:13,good,1,,,
2021-08-20 12:07:25,,2,,,
2021-08-20 12:07:53,good,1,,1,
2021-08-20 12:08:11,It was really interesting and excellent for this survey.,2,,,
2021-08-20 12:08:34,good,1,,,1
2021-08-20 12:08:35,like very much,2,,,
2021-08-20 12:08:48,GOOD,1,,1,
2021-08-20 12:10:49,Good study,2,,,
2021-08-20 12:10:51,no comments,2,,,
2021-08-20 12:11:52,,2,,,
2021-08-20 12:11:57,None,2,,,
2021-08-20 12:13:25,TEST,3,3,,
2021-08-20 12:13:26,good,2,,,
2021-08-20 12:13:45,nice,2,,,
2021-08-20 12:14:16,The survey is good study.,2,,,
2021-08-20 12:14:22,,2,,,
2021-08-20 12:14:35,None,2,,,
2021-08-20 12:14:54,,1,,,
2021-08-20 12:14:56,very interesting study,3,2,,1
2021-08-20 12:16:14,,3,2,1,
2021-08-20 12:16:15,IN THIS STUDY WAS GOOD,2,,,
2021-08-20 12:16:53,good,3,1,,
2021-08-20 12:17:12,Great,2,,,
2021-08-20 12:18:39,good,2,,,
2021-08-20 12:18:52,TEST,2,,,
2021-08-20 12:18:52,Such a good survey.,2,,,
2021-08-20 12:19:17,None,2,,,
2021-08-20 12:20:44,,2,,,
2021-08-20 12:21:02,,2,,,
2021-08-20 12:21:16,It was nice survey.,1,,,1
2021-08-20 12:21:20,I went through the study on few of my political knowledge. It is kind of nice experience.,2,,,
2021-08-20 12:21:45,Nice task.,1,,,
2021-08-20 12:22:34,,2,,,
2021-08-20 12:22:53,N/A,2,,,
2021-08-20 12:23:09,IN THIS WAS GOOD,2,,,
2021-08-20 12:23:45,,2,,,
2021-08-20 12:24:10,good,2,,,
2021-08-20 12:24:14,Good Study,2,,,
2021-08-20 12:25:27,In this study for good,2,,,
2021-08-20 12:26:11,,2,,,
2021-08-20 12:26:49,very interesting study,1,,,
2021-08-20 12:27:45,good,2,,,
2021-08-20 12:27:48,THIS SURVEY IS VERY NICE.,2,,,
2021-08-20 12:28:12,ITS GOOD,1,,,1
2021-08-20 12:29:02,in this study was good,2,,,
2021-08-20 12:29:03,NICE,2,,,
2021-08-20 12:29:25,No,1,,,
2021-08-20 12:30:29,ITS GOOD,3,1,,
2021-08-20 12:30:42,NA,2,,,
2021-08-20 12:31:23,in this was good,2,,,
2021-08-20 12:32:06,no comments,3,2,,1
2021-08-20 12:32:29,,2,,,
2021-08-20 12:34:31,nice survey,2,,,
2021-08-20 12:34:57,Such a good survey.,2,,,
2021-08-20 12:35:04,It was a good survey,1,,,1
2021-08-20 12:35:37,It was a good survey,2,,,
2021-08-20 12:35:48,,2,,,
2021-08-20 12:36:03,nice,2,,,
2021-08-20 12:36:06,Good study,2,,,
2021-08-20 12:36:09,ist good,3,1,,
2021-08-20 12:36:15,OK,2,,,
2021-08-20 12:36:22,It was a good survey,1,,,
2021-08-20 12:37:08,,2,,,
2021-08-20 12:38:13,nice survey,2,,,
2021-08-20 12:39:44,,2,,,
2021-08-20 12:40:22,NOTHING IS UPTO THIS EXTENT THE POSTIONS AND BACKGROUNDS AND FOR ACTUAL POSTIONS,3,1,,
2021-08-20 12:40:25,na,2,,,
2021-08-20 12:42:31,Good Survey,1,,,
2021-08-20 12:42:40,,2,,,
2021-08-20 12:42:43,,2,,,
2021-08-20 12:43:49,"None, thanks!",2,,,
2021-08-20 12:46:11,No comments,2,,,
2021-08-20 12:46:33,,2,,,
2021-08-20 12:46:47,This survey is interesting,2,,,
2021-08-20 12:47:05,The survey is very nice .,2,,,
2021-08-20 12:47:31,,2,,,
2021-08-20 12:48:48,None,2,,,
2021-08-20 12:50:17,Good Study,3,2,1,
2021-08-20 12:51:10,,2,,,
2021-08-20 12:51:45,None,2,,,
2021-08-20 12:52:31,,4,3,,
2021-08-20 12:52:32,,2,,,
2021-08-20 12:54:26,,2,,,
2021-08-20 12:55:43,None,2,,,
2021-08-20 12:55:46,very nice,1,,,
2021-08-20 12:56:30,None,2,,,
2021-08-20 12:57:16,,3,1,,
2021-08-20 12:58:44,n/a,2,,,
2021-08-20 13:02:48,good,2,,,
2021-08-20 13:03:43,well,1,,,1
2021-08-20 13:05:02,"GOOD ",2,,,
2021-08-20 13:09:27,GOOD LEADER,2,,,
2021-08-20 13:09:49,Good Study,1,,1,
2021-08-20 13:11:57,"good ",2,,,
2021-08-20 13:15:25,,3,1,,
2021-08-20 13:16:02,GOOD,2,,,
2021-08-20 13:16:43,na,2,,,
2021-08-20 13:19:47,,2,,,
2021-08-20 13:20:10,Very knowledgeable and interesting study.,2,,,
2021-08-20 13:21:38,well done,2,,,
2021-08-20 13:22:47,good,1,,1,
2021-08-20 13:25:34,very well,2,,,
2021-08-20 13:29:27,,3,3,,
2021-08-20 13:31:05,NA,2,,,
2021-08-20 13:31:26,GOOD,2,,,
2021-08-20 13:31:29,,2,,,
2021-08-20 13:32:04,None,2,,,
2021-08-20 13:34:50,Good survey.,3,1,,
2021-08-20 13:35:42,,1,,,1
2021-08-20 13:37:26,in this study was good,2,,,
2021-08-20 13:40:44,good,1,,,1
2021-08-20 13:42:18,,1,,1,
2021-08-20 13:43:49,Goodstudy,2,,,
2021-08-20 13:44:41,THIS SURVEY IS VERY NICE AND INTERESTING,2,,,
2021-08-20 13:44:54,good,1,,,
2021-08-20 13:45:22,GOOD SURVEY,1,,,1
2021-08-20 13:45:54,NONE,1,,,1
2021-08-20 13:46:14,THIS SURVEY IS GOOD,1,,,
2021-08-20 13:46:52,GOOD,2,,,
2021-08-20 13:48:50,NO,3,2,,1
2021-08-20 13:49:08,Thank you for giving this survey to me. This was very interesting to take. I expect more survey from you like this study.,2,,,
2021-08-20 13:49:58,good,2,,,
2021-08-20 13:50:58,good,1,,1,
2021-08-20 13:51:04,nice,3,2,1,
2021-08-20 13:51:10,,1,,1,
2021-08-20 13:52:02,no,2,,,
2021-08-20 13:52:27,,2,,,
2021-08-20 13:52:32,Good,2,,,
2021-08-20 13:52:51,,2,,,
2021-08-20 13:53:19,Its good i like it,3,1,,
2021-08-20 13:54:22,Nice,2,,,
2021-08-20 13:54:53,VERY NICE,2,,,
2021-08-20 14:01:50,,2,,,
2021-08-20 14:01:59,none,2,,,
2021-08-20 14:04:59,nice,2,,,
2021-08-20 14:05:34,OK,2,,,
2021-08-20 14:08:06,"Yes,I understand candidates backgrounds were made-up and this is a good survey.",1,,1,
2021-08-20 14:09:26,interesting,4,2,1,
2021-08-20 14:10:50,interesting,1,,,1
2021-08-20 14:19:21,,2,,,
2021-08-20 14:46:39,None,2,,,
2021-08-20 14:53:34,good,1,,,
2021-08-20 14:55:00,goode,1,,,1
2021-08-20 15:04:52,,2,,,
2021-08-20 15:21:22,,2,,,
2021-08-20 15:57:02,34,4,3,,
2021-08-20 16:16:08,ITS GOOD.,4,2,1,
2021-08-20 18:43:31,,1,,,1
2021-08-20 20:19:32,Nice,2,,,
