StartDate,party_id,lean_party,d_loss,d_win,r_loss,r_win,control,therm_dem,therm_rep,therm_ind,satisfied_democracy,trust_gov,r_gen_vote_loss,r_gen_vote_win_con,d_gen_vote_loss,d_gen_vote_win_con,comments,pid_3,loss_dum,win_dum,control_dum,loss_dum_nc,group,date,therm_inparty,therm_outparty,vote_likely
2021-08-20 12:05:53,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,96,51,51,Very Satisfied,A lot,NA,NA,Extremely likely,NA,NA,Democrat,1,0,0,1,Loss,2021-08-20T12:05:53Z,96,51,Extremely likely
2021-08-20 12:07:19,Democrat,NA,NA,NA,NA,NA,Okay,90,7,18,NA,NA,NA,NA,NA,Neither likely nor unlikely,None,Democrat,0,0,1,NA,Control,2021-08-20T12:07:19Z,90,7,NA
2021-08-20 12:12:00,Independent,Neither Republican or Democrat,NA,NA,NA,NA,NA,28,14,82,Somewhat Satisfied,A little,NA,NA,NA,NA,TEST,Independent,0,0,0,0,NA,2021-08-20T12:12:00Z,NA,NA,NA
2021-08-20 12:12:16,Democrat,NA,NA,NA,NA,NA,Okay,76,89,64,NA,NA,NA,NA,NA,Somewhat likely,good,Democrat,0,0,1,NA,Control,2021-08-20T12:12:16Z,76,89,NA
2021-08-20 12:12:24,Democrat,NA,NA,NA,NA,NA,Okay,91,57,76,NA,NA,NA,NA,NA,Somewhat likely,nice,Democrat,0,0,1,NA,Control,2021-08-20T12:12:24Z,91,57,NA
2021-08-20 11:39:49,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,91,94,58,Somewhat Satisfied,A lot,NA,NA,NA,Neither likely nor unlikely,The survey is good study.,Democrat,0,1,0,0,Win,2021-08-20T11:39:49Z,91,94,Neither likely nor unlikely
2021-08-20 12:12:23,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,83,56,66,Somewhat Dissatisfied,A moderate amount,NA,NA,Somewhat unlikely,NA,NA,Democrat,1,0,0,1,Loss,2021-08-20T12:12:23Z,83,56,Somewhat unlikely
2021-08-20 11:44:56,Democrat,NA,NA,NA,NA,NA,Okay,83,32,32,NA,NA,NA,NA,NA,Somewhat likely,None,Democrat,0,0,1,NA,Control,2021-08-20T11:44:56Z,83,32,NA
2021-08-20 12:13:57,Republican,NA,NA,NA,NA,NA,Okay,58,44,65,NA,NA,NA,Somewhat likely,NA,NA,NA,Republican,0,0,1,NA,Control,2021-08-20T12:13:57Z,44,58,NA
2021-08-20 12:13:21,Independent,Republican,NA,NA,NA,I understand. My candidate won their primary.,NA,33,95,73,Very Satisfied,A lot,NA,Extremely likely,NA,NA,very interesting study,Republican,0,1,0,0,Win,2021-08-20T12:13:21Z,95,33,NA
2021-08-20 12:13:34,Independent,Republican,NA,NA,I understand. My candidate lost their primary.,NA,NA,0,33,90,Very Dissatisfied,Not at all,Somewhat likely,NA,NA,NA,NA,Republican,1,0,0,1,Loss,2021-08-20T12:13:34Z,33,0,Somewhat likely
2021-08-20 12:13:53,Democrat,NA,NA,NA,NA,NA,Okay,69,43,59,NA,NA,NA,NA,NA,Somewhat likely,IN THIS STUDY WAS GOOD,Democrat,0,0,1,NA,Control,2021-08-20T12:13:53Z,69,43,NA
2021-08-20 12:14:24,Independent,Democratic,NA,NA,NA,NA,Okay,92,62,56,NA,NA,NA,NA,NA,Somewhat likely,good,Democrat,0,0,1,NA,Control,2021-08-20T12:14:24Z,92,62,NA
2021-08-20 12:16:00,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,76,38,68,Very Satisfied,A great deal,NA,NA,NA,Extremely likely,Great,Democrat,0,1,0,0,Win,2021-08-20T12:16:00Z,76,38,Extremely likely
2021-08-20 12:10:24,Democrat,NA,NA,NA,NA,NA,Okay,100,3,22,NA,NA,NA,NA,NA,Extremely likely,good,Democrat,0,0,1,NA,Control,2021-08-20T12:10:24Z,100,3,NA
2021-08-20 12:13:32,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,75,26,83,Somewhat Satisfied,A moderate amount,NA,NA,Somewhat unlikely,NA,TEST,Democrat,1,0,0,1,Loss,2021-08-20T12:13:32Z,75,26,Somewhat unlikely
2021-08-20 12:04:44,Democrat,NA,NA,NA,NA,NA,Okay,68,52,54,NA,NA,NA,NA,NA,Somewhat likely,Such a good survey.,Democrat,0,0,1,NA,Control,2021-08-20T12:04:44Z,68,52,NA
2021-08-20 11:40:58,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,80,30,30,Somewhat Satisfied,A lot,NA,NA,Somewhat likely,NA,None,Democrat,1,0,0,1,Loss,2021-08-20T11:40:58Z,80,30,Somewhat likely
2021-08-20 11:48:15,Democrat,NA,NA,NA,NA,NA,Okay,78,76,75,NA,NA,NA,NA,NA,Extremely likely,NA,Democrat,0,0,1,NA,Control,2021-08-20T11:48:15Z,78,76,NA
2021-08-20 12:18:50,Democrat,NA,NA,NA,NA,NA,Okay,82,75,93,NA,NA,NA,NA,NA,Neither likely nor unlikely,NA,Democrat,0,0,1,NA,Control,2021-08-20T12:18:50Z,82,75,NA
2021-08-20 12:15:30,Republican,NA,NA,NA,NA,I understand. My candidate won their primary.,NA,14,94,36,Neither Satisfied nor Dissatisfied,A lot,NA,Somewhat likely,NA,NA,It was nice survey.,Republican,0,1,0,0,Win,2021-08-20T12:15:30Z,94,14,NA
2021-08-20 11:51:49,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,95,1,5,Very Satisfied,A great deal,NA,NA,Somewhat likely,NA,I went through the study on few of my political knowledge. It is kind of nice experience.,Democrat,1,0,0,1,Loss,2021-08-20T11:51:49Z,95,1,Somewhat likely
2021-08-20 12:13:49,Republican,NA,NA,NA,NA,NA,Okay,73,100,81,NA,NA,NA,Somewhat likely,NA,NA,Nice task.,Republican,0,0,1,NA,Control,2021-08-20T12:13:49Z,100,73,NA
2021-08-20 12:19:21,Democrat,NA,NA,NA,NA,NA,Okay,100,0,79,NA,NA,NA,NA,NA,Somewhat likely,NA,Democrat,0,0,1,NA,Control,2021-08-20T12:19:21Z,100,0,NA
2021-08-20 11:40:35,Democrat,NA,NA,NA,NA,NA,Okay,100,17,9,NA,NA,NA,NA,NA,Extremely likely,N/A,Democrat,0,0,1,NA,Control,2021-08-20T11:40:35Z,100,17,NA
2021-08-20 11:56:05,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,81,71,91,Somewhat Satisfied,A moderate amount,NA,NA,NA,Somewhat likely,IN THIS WAS GOOD,Democrat,0,1,0,0,Win,2021-08-20T11:56:05Z,81,71,Somewhat likely
2021-08-20 12:21:38,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,75,11,0,Somewhat Satisfied,A moderate amount,NA,NA,Somewhat likely,NA,NA,Democrat,1,0,0,1,Loss,2021-08-20T12:21:38Z,75,11,Somewhat likely
2021-08-20 11:54:43,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,82,71,73,Very Satisfied,A great deal,NA,NA,NA,Somewhat likely,good,Democrat,0,1,0,0,Win,2021-08-20T11:54:43Z,82,71,Somewhat likely
2021-08-20 12:06:26,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,66,83,91,Somewhat Satisfied,A great deal,NA,NA,NA,Somewhat likely,Good Study,Democrat,0,1,0,0,Win,2021-08-20T12:06:26Z,66,83,Somewhat likely
2021-08-20 11:57:08,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,77,68,89,Very Satisfied,A moderate amount,NA,NA,Extremely likely,NA,In this study for good,Democrat,1,0,0,1,Loss,2021-08-20T11:57:08Z,77,68,Extremely likely
2021-08-20 12:23:52,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,63,35,63,Somewhat Satisfied,A lot,NA,NA,Neither likely nor unlikely,NA,NA,Democrat,1,0,0,1,Loss,2021-08-20T12:23:52Z,63,35,Neither likely nor unlikely
2021-08-20 11:40:39,Republican,NA,NA,NA,NA,NA,Okay,77,57,79,NA,NA,NA,Extremely likely,NA,NA,very interesting study,Republican,0,0,1,NA,Control,2021-08-20T11:40:39Z,57,77,NA
2021-08-20 12:26:33,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,65,92,74,Somewhat Satisfied,A moderate amount,NA,NA,NA,Somewhat likely,good,Democrat,0,1,0,0,Win,2021-08-20T12:26:33Z,65,92,Somewhat likely
2021-08-20 12:19:06,Democrat,NA,NA,NA,NA,NA,Okay,65,72,64,NA,NA,NA,NA,NA,Extremely likely,THIS SURVEY IS VERY NICE.,Democrat,0,0,1,NA,Control,2021-08-20T12:19:06Z,65,72,NA
2021-08-20 12:27:09,Republican,NA,NA,NA,NA,I understand. My candidate won their primary.,NA,82,86,78,Very Satisfied,A lot,NA,Extremely likely,NA,NA,ITS GOOD,Republican,0,1,0,0,Win,2021-08-20T12:27:09Z,86,82,NA
2021-08-20 11:58:37,Democrat,NA,NA,NA,NA,NA,Okay,79,71,90,NA,NA,NA,NA,NA,Somewhat likely,in this study was good,Democrat,0,0,1,NA,Control,2021-08-20T11:58:37Z,79,71,NA
2021-08-20 12:27:54,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,62,76,58,Somewhat Satisfied,A moderate amount,NA,NA,NA,Somewhat likely,NICE,Democrat,0,1,0,0,Win,2021-08-20T12:27:54Z,62,76,Somewhat likely
2021-08-20 12:27:03,Republican,NA,NA,NA,NA,NA,Okay,58,75,57,NA,NA,NA,Neither likely nor unlikely,NA,NA,No,Republican,0,0,1,NA,Control,2021-08-20T12:27:03Z,75,58,NA
2021-08-20 12:19:48,Independent,Democratic,NA,NA,NA,NA,Okay,87,83,92,NA,NA,NA,NA,NA,Extremely likely,ITS GOOD,Democrat,0,0,1,NA,Control,2021-08-20T12:19:48Z,87,83,NA
2021-08-20 12:28:03,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,82,100,82,Somewhat Dissatisfied,A moderate amount,NA,NA,Neither likely nor unlikely,NA,NA,Democrat,1,0,0,1,Loss,2021-08-20T12:28:03Z,82,100,Neither likely nor unlikely
2021-08-20 11:59:15,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,83,63,100,Neither Satisfied nor Dissatisfied,A great deal,NA,NA,Somewhat likely,NA,in this was good,Democrat,1,0,0,1,Loss,2021-08-20T11:59:15Z,83,63,Somewhat likely
2021-08-20 12:30:56,Independent,Republican,NA,NA,NA,I understand. My candidate won their primary.,NA,61,95,83,Somewhat Satisfied,A lot,NA,Somewhat likely,NA,NA,no comments,Republican,0,1,0,0,Win,2021-08-20T12:30:56Z,95,61,NA
2021-08-20 12:12:59,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,100,51,51,Very Satisfied,A lot,NA,NA,Extremely likely,NA,NA,Democrat,1,0,0,1,Loss,2021-08-20T12:12:59Z,100,51,Extremely likely
2021-08-20 12:32:53,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,83,41,32,Very Satisfied,A great deal,NA,NA,Somewhat likely,NA,nice survey,Democrat,1,0,0,1,Loss,2021-08-20T12:32:53Z,83,41,Somewhat likely
2021-08-20 12:19:41,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,84,51,41,Somewhat Satisfied,A moderate amount,NA,NA,NA,Somewhat likely,Such a good survey.,Democrat,0,1,0,0,Win,2021-08-20T12:19:41Z,84,51,Somewhat likely
2021-08-20 12:22:58,Republican,NA,NA,NA,NA,I understand. My candidate won their primary.,NA,36,76,46,Somewhat Satisfied,A lot,NA,Somewhat likely,NA,NA,It was a good survey,Republican,0,1,0,0,Win,2021-08-20T12:22:58Z,76,36,NA
2021-08-20 12:22:29,Democrat,NA,NA,NA,NA,NA,Okay,100,40,55,NA,NA,NA,NA,NA,Extremely likely,It was a good survey,Democrat,0,0,1,NA,Control,2021-08-20T12:22:29Z,100,40,NA
2021-08-20 12:32:02,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,67,34,22,Somewhat Satisfied,A lot,NA,NA,NA,Somewhat likely,NA,Democrat,0,1,0,0,Win,2021-08-20T12:32:02Z,67,34,Somewhat likely
2021-08-20 12:34:47,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,68,36,66,Somewhat Satisfied,A lot,NA,NA,NA,Somewhat likely,nice,Democrat,0,1,0,0,Win,2021-08-20T12:34:47Z,68,36,Somewhat likely
2021-08-20 12:34:19,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,75,86,100,Somewhat Satisfied,A great deal,NA,NA,Somewhat likely,NA,Good study,Democrat,1,0,0,1,Loss,2021-08-20T12:34:19Z,75,86,Somewhat likely
2021-08-20 12:35:03,Independent,Democratic,NA,I understand. My candidate won their primary.,NA,NA,NA,80,71,85,Very Satisfied,A lot,NA,NA,NA,Extremely likely,ist good,Democrat,0,1,0,0,Win,2021-08-20T12:35:03Z,80,71,Extremely likely
2021-08-20 12:34:52,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,76,59,52,Neither Satisfied nor Dissatisfied,A lot,NA,NA,Neither likely nor unlikely,NA,OK,Democrat,1,0,0,1,Loss,2021-08-20T12:34:52Z,76,59,Neither likely nor unlikely
2021-08-20 12:22:55,Republican,NA,NA,NA,NA,NA,Okay,12,97,44,NA,NA,NA,Somewhat likely,NA,NA,It was a good survey,Republican,0,0,1,NA,Control,2021-08-20T12:22:55Z,97,12,NA
2021-08-20 12:34:49,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,83,75,62,Somewhat Satisfied,A great deal,NA,NA,Extremely likely,NA,NA,Democrat,1,0,0,1,Loss,2021-08-20T12:34:49Z,83,75,Extremely likely
2021-08-20 12:35:21,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,85,47,24,Very Satisfied,A lot,NA,NA,NA,Somewhat likely,nice survey,Democrat,0,1,0,0,Win,2021-08-20T12:35:21Z,85,47,Somewhat likely
2021-08-20 12:34:39,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,82,54,63,Somewhat Satisfied,A great deal,NA,NA,NA,Somewhat likely,NA,Democrat,0,1,0,0,Win,2021-08-20T12:34:39Z,82,54,Somewhat likely
2021-08-20 12:28:26,Independent,Democratic,NA,I understand. My candidate won their primary.,NA,NA,NA,66,61,82,Somewhat Satisfied,A lot,NA,NA,NA,Somewhat likely,NOTHING IS UPTO THIS EXTENT THE POSTIONS AND BACKGROUNDS AND FOR ACTUAL POSTIONS,Democrat,0,1,0,0,Win,2021-08-20T12:28:26Z,66,61,Somewhat likely
2021-08-20 12:39:26,Democrat,NA,NA,NA,NA,NA,Okay,93,20,65,NA,NA,NA,NA,NA,Somewhat likely,na,Democrat,0,0,1,NA,Control,2021-08-20T12:39:26Z,93,20,NA
2021-08-20 11:40:08,Republican,NA,NA,NA,NA,NA,Okay,74,74,80,NA,NA,NA,Somewhat likely,NA,NA,Good Survey,Republican,0,0,1,NA,Control,2021-08-20T11:40:08Z,74,74,NA
2021-08-20 12:40:48,Democrat,NA,NA,NA,NA,NA,Okay,95,0,70,NA,NA,NA,NA,NA,Extremely likely,NA,Democrat,0,0,1,NA,Control,2021-08-20T12:40:48Z,95,0,NA
2021-08-20 12:40:54,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,95,73,81,Somewhat Satisfied,A great deal,NA,NA,Extremely likely,NA,NA,Democrat,1,0,0,1,Loss,2021-08-20T12:40:54Z,95,73,Extremely likely
2021-08-20 12:40:50,Democrat,NA,NA,NA,NA,NA,Okay,85,9,30,NA,NA,NA,NA,NA,Extremely likely,"None, thanks!",Democrat,0,0,1,NA,Control,2021-08-20T12:40:50Z,85,9,NA
2021-08-20 12:37:39,Democrat,NA,NA,NA,NA,NA,Okay,100,10,0,NA,NA,NA,NA,NA,Extremely likely,No comments,Democrat,0,0,1,NA,Control,2021-08-20T12:37:39Z,100,10,NA
2021-08-20 12:45:24,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,71,53,52,Neither Satisfied nor Dissatisfied,A lot,NA,NA,Somewhat unlikely,NA,NA,Democrat,1,0,0,1,Loss,2021-08-20T12:45:24Z,71,53,Somewhat unlikely
2021-08-20 12:19:17,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,85,59,43,Very Satisfied,A lot,NA,NA,NA,Extremely likely,This survey is interesting,Democrat,0,1,0,0,Win,2021-08-20T12:19:17Z,85,59,Extremely likely
2021-08-20 12:43:09,Democrat,NA,NA,NA,NA,NA,Okay,87,54,71,NA,NA,NA,NA,NA,Somewhat likely,The survey is very nice .,Democrat,0,0,1,NA,Control,2021-08-20T12:43:09Z,87,54,NA
2021-08-20 12:45:45,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,78,90,64,Somewhat Satisfied,A great deal,NA,NA,NA,Somewhat likely,NA,Democrat,0,1,0,0,Win,2021-08-20T12:45:45Z,78,90,Somewhat likely
2021-08-20 12:46:51,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,100,5,51,Very Satisfied,A great deal,NA,NA,NA,Extremely likely,None,Democrat,0,1,0,0,Win,2021-08-20T12:46:51Z,100,5,Extremely likely
2021-08-20 12:48:16,Independent,Republican,NA,NA,I understand. My candidate lost their primary.,NA,NA,80,90,80,Somewhat Satisfied,A little,Somewhat likely,NA,NA,NA,Good Study,Republican,1,0,0,1,Loss,2021-08-20T12:48:16Z,90,80,Somewhat likely
2021-08-20 12:47:46,Democrat,NA,NA,NA,NA,NA,Okay,100,63,79,NA,NA,NA,NA,NA,Extremely likely,NA,Democrat,0,0,1,NA,Control,2021-08-20T12:47:46Z,100,63,NA
2021-08-20 12:48:40,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,85,60,39,Somewhat Satisfied,A lot,NA,NA,NA,Extremely likely,None,Democrat,0,1,0,0,Win,2021-08-20T12:48:40Z,85,60,Extremely likely
2021-08-20 12:51:52,Something Else,Neither Republican or Democrat,NA,NA,NA,NA,NA,50,50,50,Somewhat Dissatisfied,A little,NA,NA,NA,NA,NA,Independent,0,0,0,0,NA,2021-08-20T12:51:52Z,NA,NA,NA
2021-08-20 12:50:45,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,75,47,46,Somewhat Satisfied,A lot,NA,NA,Somewhat likely,NA,NA,Democrat,1,0,0,1,Loss,2021-08-20T12:50:45Z,75,47,Somewhat likely
2021-08-20 12:53:01,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,69,42,49,Somewhat Satisfied,A lot,NA,NA,NA,Somewhat likely,NA,Democrat,0,1,0,0,Win,2021-08-20T12:53:01Z,69,42,Somewhat likely
2021-08-20 12:52:20,Democrat,NA,NA,NA,NA,NA,Okay,76,62,38,NA,NA,NA,NA,NA,Extremely likely,None,Democrat,0,0,1,NA,Control,2021-08-20T12:52:20Z,76,62,NA
2021-08-20 12:50:44,Republican,NA,NA,NA,NA,NA,Okay,72,82,65,NA,NA,NA,Extremely likely,NA,NA,very nice,Republican,0,0,1,NA,Control,2021-08-20T12:50:44Z,82,72,NA
2021-08-20 12:46:25,Democrat,NA,NA,NA,NA,NA,Okay,91,6,24,NA,NA,NA,NA,NA,Extremely likely,None,Democrat,0,0,1,NA,Control,2021-08-20T12:46:25Z,91,6,NA
2021-08-20 11:44:49,Independent,Democratic,I understand. My candidate lost their primary.,NA,NA,NA,NA,7,2,10,Very Dissatisfied,Not at all,NA,NA,Neither likely nor unlikely,NA,NA,Democrat,1,0,0,1,Loss,2021-08-20T11:44:49Z,7,2,Neither likely nor unlikely
2021-08-20 12:58:02,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,73,40,56,Neither Satisfied nor Dissatisfied,A moderate amount,NA,NA,Somewhat unlikely,NA,n/a,Democrat,1,0,0,1,Loss,2021-08-20T12:58:02Z,73,40,Somewhat unlikely
2021-08-20 12:33:43,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,100,0,70,Somewhat Satisfied,A great deal,NA,NA,Extremely likely,NA,good,Democrat,1,0,0,1,Loss,2021-08-20T12:33:43Z,100,0,Extremely likely
2021-08-20 13:02:27,Republican,NA,NA,NA,NA,I understand. My candidate won their primary.,NA,62,76,67,Very Satisfied,A great deal,NA,Extremely likely,NA,NA,well,Republican,0,1,0,0,Win,2021-08-20T13:02:27Z,76,62,NA
2021-08-20 12:56:35,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,75,86,76,Very Satisfied,A lot,NA,NA,NA,Extremely likely,GOOD,Democrat,0,1,0,0,Win,2021-08-20T12:56:35Z,75,86,Extremely likely
2021-08-20 11:53:19,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,86,94,83,Somewhat Satisfied,A lot,NA,NA,NA,Somewhat likely,GOOD LEADER,Democrat,0,1,0,0,Win,2021-08-20T11:53:19Z,86,94,Somewhat likely
2021-08-20 13:07:21,Republican,NA,NA,NA,I understand. My candidate lost their primary.,NA,NA,80,74,87,Somewhat Satisfied,A lot,Somewhat likely,NA,NA,NA,Good Study,Republican,1,0,0,1,Loss,2021-08-20T13:07:21Z,74,80,Somewhat likely
2021-08-20 13:08:27,Democrat,NA,NA,NA,NA,NA,Okay,78,19,18,NA,NA,NA,NA,NA,Neither likely nor unlikely,good,Democrat,0,0,1,NA,Control,2021-08-20T13:08:27Z,78,19,NA
2021-08-20 13:11:41,Independent,Democratic,NA,NA,NA,NA,Okay,60,45,75,NA,NA,NA,NA,NA,Somewhat likely,NA,Democrat,0,0,1,NA,Control,2021-08-20T13:11:41Z,60,45,NA
2021-08-20 13:07:32,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,81,0,0,Very Satisfied,A great deal,NA,NA,NA,Extremely likely,GOOD,Democrat,0,1,0,0,Win,2021-08-20T13:07:32Z,81,0,Extremely likely
2021-08-20 13:15:43,Democrat,NA,NA,NA,NA,NA,Okay,95,23,40,NA,NA,NA,NA,NA,Somewhat likely,na,Democrat,0,0,1,NA,Control,2021-08-20T13:15:43Z,95,23,NA
2021-08-20 13:18:24,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,87,0,37,Very Satisfied,A moderate amount,NA,NA,NA,Somewhat likely,NA,Democrat,0,1,0,0,Win,2021-08-20T13:18:24Z,87,0,Somewhat likely
2021-08-20 13:06:31,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,80,50,60,Somewhat Satisfied,A lot,NA,NA,Somewhat likely,NA,Very knowledgeable and interesting study.,Democrat,1,0,0,1,Loss,2021-08-20T13:06:31Z,80,50,Somewhat likely
2021-08-20 13:12:40,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,93,77,68,Very Satisfied,A great deal,NA,NA,Somewhat likely,NA,well done,Democrat,1,0,0,1,Loss,2021-08-20T13:12:40Z,93,77,Somewhat likely
2021-08-20 13:21:21,Republican,NA,NA,NA,I understand. My candidate lost their primary.,NA,NA,96,99,95,Somewhat Satisfied,A lot,Neither likely nor unlikely,NA,NA,NA,good,Republican,1,0,0,1,Loss,2021-08-20T13:21:21Z,99,96,Neither likely nor unlikely
2021-08-20 13:23:30,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,93,74,86,Very Satisfied,A great deal,NA,NA,Somewhat likely,NA,very well,Democrat,1,0,0,1,Loss,2021-08-20T13:23:30Z,93,74,Somewhat likely
2021-08-20 12:51:39,Independent,Neither Republican or Democrat,NA,NA,NA,NA,NA,50,48,51,Somewhat Satisfied,A moderate amount,NA,NA,NA,NA,NA,Independent,0,0,0,0,NA,2021-08-20T12:51:39Z,NA,NA,NA
2021-08-20 13:29:20,Democrat,NA,NA,NA,NA,NA,Okay,72,15,68,NA,NA,NA,NA,NA,Somewhat likely,NA,Democrat,0,0,1,NA,Control,2021-08-20T13:29:20Z,72,15,NA
2021-08-20 13:26:31,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,100,51,60,Very Satisfied,A lot,NA,NA,Somewhat unlikely,NA,GOOD,Democrat,1,0,0,1,Loss,2021-08-20T13:26:31Z,100,51,Somewhat unlikely
