StartDate,party_id,lean_party,d_loss,d_win,r_loss,r_win,control,therm_dem,therm_rep,therm_ind,satisfied_democracy,trust_gov,r_gen_vote_loss,r_gen_vote_win_con,d_gen_vote_loss,d_gen_vote_win_con,comments,pid_3,loss_dum,win_dum,control_dum,loss_dum_nc,group,date,therm_inparty,therm_outparty,vote_likely
2021-08-20 13:29:42,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,100,0,20,Somewhat Satisfied,A moderate amount,NA,NA,Extremely likely,NA,NA,Democrat,1,0,0,1,Loss,2021-08-20T13:29:42Z,100,0,Extremely likely
2021-08-20 13:26:50,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,80,25,21,Somewhat Satisfied,A moderate amount,NA,NA,NA,Somewhat likely,None,Democrat,0,1,0,0,Win,2021-08-20T13:26:50Z,80,25,Somewhat likely
2021-08-20 13:33:22,Independent,Democratic,NA,I understand. My candidate won their primary.,NA,NA,NA,55,65,75,Neither Satisfied nor Dissatisfied,A moderate amount,NA,NA,NA,Neither likely nor unlikely,Good survey.,Democrat,0,1,0,0,Win,2021-08-20T13:33:22Z,55,65,Neither likely nor unlikely
2021-08-20 13:33:09,Republican,NA,NA,NA,NA,I understand. My candidate won their primary.,NA,0,100,0,Very Dissatisfied,Not at all,NA,Extremely likely,NA,NA,NA,Republican,0,1,0,0,Win,2021-08-20T13:33:09Z,100,0,NA
2021-08-20 13:36:25,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,60,87,75,Somewhat Satisfied,A moderate amount,NA,NA,Somewhat likely,NA,in this study was good,Democrat,1,0,0,1,Loss,2021-08-20T13:36:25Z,60,87,Somewhat likely
2021-08-20 13:39:29,Republican,NA,NA,NA,NA,I understand. My candidate won their primary.,NA,56,76,68,Somewhat Satisfied,A lot,NA,Somewhat likely,NA,NA,good,Republican,0,1,0,0,Win,2021-08-20T13:39:29Z,76,56,NA
2021-08-20 13:40:52,Republican,NA,NA,NA,I understand. My candidate lost their primary.,NA,NA,51,51,51,Somewhat Satisfied,A lot,Somewhat likely,NA,NA,NA,NA,Republican,1,0,0,1,Loss,2021-08-20T13:40:52Z,51,51,Somewhat likely
2021-08-20 13:40:52,Democrat,NA,NA,NA,NA,NA,Okay,83,75,69,NA,NA,NA,NA,NA,Somewhat likely,Goodstudy,Democrat,0,0,1,NA,Control,2021-08-20T13:40:52Z,83,75,NA
2021-08-20 13:40:33,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,65,78,72,Somewhat Satisfied,A moderate amount,NA,NA,NA,Somewhat likely,THIS SURVEY IS VERY NICE AND INTERESTING,Democrat,0,1,0,0,Win,2021-08-20T13:40:33Z,65,78,Somewhat likely
2021-08-20 13:42:24,Republican,NA,NA,NA,NA,NA,Okay,89,85,83,NA,NA,NA,Extremely likely,NA,NA,good,Republican,0,0,1,NA,Control,2021-08-20T13:42:24Z,85,89,NA
2021-08-20 13:43:40,Republican,NA,NA,NA,NA,I understand. My candidate won their primary.,NA,68,84,71,Somewhat Satisfied,A great deal,NA,Somewhat likely,NA,NA,GOOD SURVEY,Republican,0,1,0,0,Win,2021-08-20T13:43:40Z,84,68,NA
2021-08-20 13:40:33,Republican,NA,NA,NA,NA,I understand. My candidate won their primary.,NA,67,82,57,Somewhat Satisfied,A lot,NA,Somewhat likely,NA,NA,NONE,Republican,0,1,0,0,Win,2021-08-20T13:40:33Z,82,67,NA
2021-08-20 13:43:32,Republican,NA,NA,NA,NA,NA,Okay,71,90,74,NA,NA,NA,Neither likely nor unlikely,NA,NA,THIS SURVEY IS GOOD,Republican,0,0,1,NA,Control,2021-08-20T13:43:32Z,90,71,NA
2021-08-20 13:45:02,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,75,68,81,Very Satisfied,A great deal,NA,NA,Extremely likely,NA,GOOD,Democrat,1,0,0,1,Loss,2021-08-20T13:45:02Z,75,68,Extremely likely
2021-08-20 13:46:23,Independent,Republican,NA,NA,NA,I understand. My candidate won their primary.,NA,73,70,89,Somewhat Satisfied,A lot,NA,Somewhat likely,NA,NA,NO,Republican,0,1,0,0,Win,2021-08-20T13:46:23Z,70,73,NA
2021-08-20 13:44:11,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,69,100,72,Very Satisfied,A great deal,NA,NA,Extremely likely,NA,Thank you for giving this survey to me. This was very interesting to take. I expect more survey from you like this study.,Democrat,1,0,0,1,Loss,2021-08-20T13:44:11Z,69,100,Extremely likely
2021-08-20 13:48:30,Democrat,NA,NA,NA,NA,NA,Okay,88,86,82,NA,NA,NA,NA,NA,Extremely likely,good,Democrat,0,0,1,NA,Control,2021-08-20T13:48:30Z,88,86,NA
2021-08-20 13:41:31,Republican,NA,NA,NA,I understand. My candidate lost their primary.,NA,NA,88,95,85,Somewhat Satisfied,A lot,Neither likely nor unlikely,NA,NA,NA,good,Republican,1,0,0,1,Loss,2021-08-20T13:41:31Z,95,88,Neither likely nor unlikely
2021-08-20 13:45:48,Independent,Republican,NA,NA,I understand. My candidate lost their primary.,NA,NA,95,85,95,Very Dissatisfied,A lot,Somewhat likely,NA,NA,NA,nice,Republican,1,0,0,1,Loss,2021-08-20T13:45:48Z,85,95,Somewhat likely
2021-08-20 13:48:44,Republican,NA,NA,NA,I understand. My candidate lost their primary.,NA,NA,0,100,100,Very Dissatisfied,Not at all,Neither likely nor unlikely,NA,NA,NA,NA,Republican,1,0,0,1,Loss,2021-08-20T13:48:44Z,100,0,Neither likely nor unlikely
2021-08-20 13:48:16,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,69,25,36,Somewhat Satisfied,A lot,NA,NA,Somewhat likely,NA,no,Democrat,1,0,0,1,Loss,2021-08-20T13:48:16Z,69,25,Somewhat likely
2021-08-20 13:50:22,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,83,0,11,Neither Satisfied nor Dissatisfied,A little,NA,NA,NA,Somewhat likely,NA,Democrat,0,1,0,0,Win,2021-08-20T13:50:22Z,83,0,Somewhat likely
2021-08-20 13:50:07,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,92,83,91,Very Satisfied,A great deal,NA,NA,NA,Extremely likely,Good,Democrat,0,1,0,0,Win,2021-08-20T13:50:07Z,92,83,Extremely likely
2021-08-20 13:51:48,Democrat,NA,NA,NA,NA,NA,Okay,89,0,41,NA,NA,NA,NA,NA,Somewhat likely,NA,Democrat,0,0,1,NA,Control,2021-08-20T13:51:48Z,89,0,NA
2021-08-20 13:47:28,Independent,Democratic,I understand. My candidate lost their primary.,NA,NA,NA,NA,96,87,78,Very Satisfied,A lot,NA,NA,Extremely likely,NA,Its good i like it,Democrat,1,0,0,1,Loss,2021-08-20T13:47:28Z,96,87,Extremely likely
2021-08-20 13:48:18,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,97,85,91,Somewhat Satisfied,A lot,NA,NA,Somewhat likely,NA,Nice,Democrat,1,0,0,1,Loss,2021-08-20T13:48:18Z,97,85,Somewhat likely
2021-08-20 13:52:55,Democrat,NA,NA,NA,NA,NA,Okay,100,100,100,NA,NA,NA,NA,NA,Extremely likely,VERY NICE,Democrat,0,0,1,NA,Control,2021-08-20T13:52:55Z,100,100,NA
2021-08-20 14:00:02,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,100,0,51,Very Satisfied,A moderate amount,NA,NA,Extremely unlikely,NA,NA,Democrat,1,0,0,1,Loss,2021-08-20T14:00:02Z,100,0,Extremely unlikely
2021-08-20 13:50:07,Democrat,NA,NA,NA,NA,NA,Okay,91,29,66,NA,NA,NA,NA,NA,Somewhat likely,none,Democrat,0,0,1,NA,Control,2021-08-20T13:50:07Z,91,29,NA
2021-08-20 13:57:22,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,64,64,56,Somewhat Satisfied,A lot,NA,NA,NA,Somewhat likely,nice,Democrat,0,1,0,0,Win,2021-08-20T13:57:22Z,64,64,Somewhat likely
2021-08-20 14:03:27,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,61,54,46,Neither Satisfied nor Dissatisfied,A lot,NA,NA,Neither likely nor unlikely,NA,OK,Democrat,1,0,0,1,Loss,2021-08-20T14:03:27Z,61,54,Neither likely nor unlikely
2021-08-20 14:01:33,Republican,NA,NA,NA,I understand. My candidate lost their primary.,NA,NA,61,86,73,Very Satisfied,A great deal,Somewhat unlikely,NA,NA,NA,"Yes,I understand candidates backgrounds were made-up and this is a good survey.",Republican,1,0,0,1,Loss,2021-08-20T14:01:33Z,86,61,Somewhat unlikely
2021-08-20 14:03:05,Something Else,Republican,NA,NA,I understand. My candidate lost their primary.,NA,NA,47,55,76,Somewhat Satisfied,A great deal,Neither likely nor unlikely,NA,NA,NA,interesting,Republican,1,0,0,1,Loss,2021-08-20T14:03:05Z,55,47,Neither likely nor unlikely
2021-08-20 14:09:36,Republican,NA,NA,NA,NA,I understand. My candidate won their primary.,NA,72,64,86,Somewhat Satisfied,A great deal,NA,Neither likely nor unlikely,NA,NA,interesting,Republican,0,1,0,0,Win,2021-08-20T14:09:36Z,64,72,NA
2021-08-20 13:42:04,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,81,39,63,Somewhat Satisfied,A moderate amount,NA,NA,Neither likely nor unlikely,NA,NA,Democrat,1,0,0,1,Loss,2021-08-20T13:42:04Z,81,39,Neither likely nor unlikely
2021-08-20 14:43:16,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,85,100,75,Very Satisfied,A great deal,NA,NA,Extremely likely,NA,None,Democrat,1,0,0,1,Loss,2021-08-20T14:43:16Z,85,100,Extremely likely
2021-08-20 14:52:23,Republican,NA,NA,NA,NA,NA,Okay,60,84,71,NA,NA,NA,Neither likely nor unlikely,NA,NA,good,Republican,0,0,1,NA,Control,2021-08-20T14:52:23Z,84,60,NA
2021-08-20 14:54:01,Republican,NA,NA,NA,NA,I understand. My candidate won their primary.,NA,66,88,68,Neither Satisfied nor Dissatisfied,A great deal,NA,Extremely likely,NA,NA,goode,Republican,0,1,0,0,Win,2021-08-20T14:54:01Z,88,66,NA
2021-08-20 15:00:50,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,50,30,50,Very Dissatisfied,A little,NA,NA,Extremely likely,NA,NA,Democrat,1,0,0,1,Loss,2021-08-20T15:00:50Z,50,30,Extremely likely
2021-08-20 15:19:12,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,70,32,51,Neither Satisfied nor Dissatisfied,A moderate amount,NA,NA,NA,Somewhat likely,NA,Democrat,0,1,0,0,Win,2021-08-20T15:19:12Z,70,32,Somewhat likely
2021-08-20 15:55:53,Something Else,Neither Republican or Democrat,NA,NA,NA,NA,NA,93,100,92,Somewhat Satisfied,A great deal,NA,NA,NA,NA,34,Independent,0,0,0,0,NA,2021-08-20T15:55:53Z,NA,NA,NA
2021-08-20 16:13:48,Something Else,Republican,NA,NA,I understand. My candidate lost their primary.,NA,NA,45,98,67,Somewhat Satisfied,A lot,Neither likely nor unlikely,NA,NA,NA,ITS GOOD.,Republican,1,0,0,1,Loss,2021-08-20T16:13:48Z,98,45,Neither likely nor unlikely
2021-08-20 18:41:18,Republican,NA,NA,NA,NA,I understand. My candidate won their primary.,NA,83,94,81,Somewhat Dissatisfied,A lot,NA,Extremely likely,NA,NA,NA,Republican,0,1,0,0,Win,2021-08-20T18:41:18Z,94,83,NA
2021-08-20 16:44:39,Democrat,NA,NA,NA,NA,NA,Okay,69,100,80,NA,NA,NA,NA,NA,Extremely likely,Nice,Democrat,0,0,1,NA,Control,2021-08-20T16:44:39Z,69,100,NA
2021-08-21 12:10:47,Republican,NA,NA,NA,I understand. My candidate lost their primary.,NA,NA,60,40,60,Very Satisfied,A lot,Somewhat likely,NA,NA,NA,None,Republican,1,0,0,1,Loss,2021-08-21T12:10:47Z,40,60,Somewhat likely
2021-08-21 12:11:29,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,79,66,84,Very Satisfied,A great deal,NA,NA,NA,Extremely likely,good,Democrat,0,1,0,0,Win,2021-08-21T12:11:29Z,79,66,Extremely likely
2021-08-21 12:12:34,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,70,61,44,Somewhat Satisfied,A moderate amount,NA,NA,Extremely likely,NA,no comments,Democrat,1,0,0,1,Loss,2021-08-21T12:12:34Z,70,61,Extremely likely
2021-08-21 12:11:22,Democrat,NA,NA,NA,NA,NA,Okay,74,89,75,NA,NA,NA,NA,NA,Somewhat likely,NICE,Democrat,0,0,1,NA,Control,2021-08-21T12:11:22Z,74,89,NA
2021-08-21 12:14:11,Democrat,NA,NA,NA,NA,NA,Okay,86,60,51,NA,NA,NA,NA,NA,Extremely likely,good,Democrat,0,0,1,NA,Control,2021-08-21T12:14:11Z,86,60,NA
2021-08-21 12:14:28,Republican,NA,NA,NA,I understand. My candidate lost their primary.,NA,NA,72,43,68,Neither Satisfied nor Dissatisfied,A moderate amount,Neither likely nor unlikely,NA,NA,NA,None,Republican,1,0,0,1,Loss,2021-08-21T12:14:28Z,43,72,Neither likely nor unlikely
2021-08-21 12:13:58,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,84,61,56,Somewhat Satisfied,A lot,NA,NA,NA,Somewhat likely,None,Democrat,0,1,0,0,Win,2021-08-21T12:13:58Z,84,61,Somewhat likely
2021-08-21 12:16:30,Independent,Neither Republican or Democrat,NA,NA,NA,NA,NA,51,49,100,Somewhat Satisfied,A moderate amount,NA,NA,NA,NA,NA,Independent,0,0,0,0,NA,2021-08-21T12:16:30Z,NA,NA,NA
2021-08-21 12:13:54,Republican,NA,NA,NA,NA,NA,Okay,1,69,51,NA,NA,NA,Somewhat likely,NA,NA,NA,Republican,0,0,1,NA,Control,2021-08-21T12:13:54Z,69,1,NA
2021-08-21 12:15:52,Independent,Republican,NA,NA,NA,NA,Okay,63,45,51,NA,NA,NA,Somewhat unlikely,NA,NA,NA,Republican,0,0,1,NA,Control,2021-08-21T12:15:52Z,45,63,NA
2021-08-21 12:24:05,Democrat,NA,NA,NA,NA,NA,Okay,98,11,51,NA,NA,NA,NA,NA,Neither likely nor unlikely,none,Democrat,0,0,1,NA,Control,2021-08-21T12:24:05Z,98,11,NA
2021-08-21 12:24:36,Democrat,NA,NA,NA,NA,NA,Okay,81,13,65,NA,NA,NA,NA,NA,Somewhat likely,NA,Democrat,0,0,1,NA,Control,2021-08-21T12:24:36Z,81,13,NA
2021-08-21 12:25:59,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,59,52,53,Very Satisfied,A moderate amount,NA,NA,Somewhat likely,NA,None,Democrat,1,0,0,1,Loss,2021-08-21T12:25:59Z,59,52,Somewhat likely
2021-08-21 12:25:20,Republican,NA,NA,NA,I understand. My candidate lost their primary.,NA,NA,51,87,51,Very Dissatisfied,Not at all,Somewhat unlikely,NA,NA,NA,NA,Republican,1,0,0,1,Loss,2021-08-21T12:25:20Z,87,51,Somewhat unlikely
2021-08-21 12:29:49,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,83,72,85,Very Satisfied,A great deal,NA,NA,NA,Extremely likely,good,Democrat,0,1,0,0,Win,2021-08-21T12:29:49Z,83,72,Extremely likely
2021-08-21 12:31:04,Democrat,NA,NA,NA,NA,NA,Okay,74,65,72,NA,NA,NA,NA,NA,Extremely likely,good,Democrat,0,0,1,NA,Control,2021-08-21T12:31:04Z,74,65,NA
2021-08-21 12:32:45,Republican,NA,NA,NA,I understand. My candidate lost their primary.,NA,NA,76,95,100,Very Satisfied,A lot,Extremely unlikely,NA,NA,NA,keep safe and have a great summer,Republican,1,0,0,1,Loss,2021-08-21T12:32:45Z,95,76,Extremely unlikely
2021-08-21 12:40:21,Independent,Neither Republican or Democrat,NA,NA,NA,NA,NA,0,0,50,Very Dissatisfied,Not at all,NA,NA,NA,NA,NA,Independent,0,0,0,0,NA,2021-08-21T12:40:21Z,NA,NA,NA
2021-08-21 12:41:15,Independent,Democratic,NA,I understand. My candidate won their primary.,NA,NA,NA,3,1,10,Neither Satisfied nor Dissatisfied,Not at all,NA,NA,NA,Neither likely nor unlikely,NA,Democrat,0,1,0,0,Win,2021-08-21T12:41:15Z,3,1,Neither likely nor unlikely
2021-08-21 12:43:37,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,75,43,74,Somewhat Satisfied,A lot,NA,NA,NA,Somewhat likely,none,Democrat,0,1,0,0,Win,2021-08-21T12:43:37Z,75,43,Somewhat likely
2021-08-21 12:44:03,Democrat,NA,NA,NA,NA,NA,Okay,70,20,45,NA,NA,NA,NA,NA,Somewhat likely,NA,Democrat,0,0,1,NA,Control,2021-08-21T12:44:03Z,70,20,NA
2021-08-21 12:46:25,Democrat,NA,NA,NA,NA,NA,Okay,69,69,62,NA,NA,NA,NA,NA,Extremely likely,godd,Democrat,0,0,1,NA,Control,2021-08-21T12:46:25Z,69,69,NA
2021-08-21 12:50:15,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,52,51,52,Very Satisfied,A great deal,NA,NA,NA,Extremely likely,GOOD,Democrat,0,1,0,0,Win,2021-08-21T12:50:15Z,52,51,Extremely likely
2021-08-21 12:47:32,Republican,NA,NA,NA,I understand. My candidate lost their primary.,NA,NA,72,80,72,Very Satisfied,A lot,Somewhat likely,NA,NA,NA,very good,Republican,1,0,0,1,Loss,2021-08-21T12:47:32Z,80,72,Somewhat likely
2021-08-21 12:49:05,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,54,15,80,Neither Satisfied nor Dissatisfied,A little,NA,NA,Extremely likely,NA,NA,Democrat,1,0,0,1,Loss,2021-08-21T12:49:05Z,54,15,Extremely likely
2021-08-21 12:50:22,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,77,63,78,Neither Satisfied nor Dissatisfied,A moderate amount,NA,NA,Neither likely nor unlikely,NA,None,Democrat,1,0,0,1,Loss,2021-08-21T12:50:22Z,77,63,Neither likely nor unlikely
2021-08-21 12:53:51,Democrat,NA,NA,NA,NA,NA,Okay,66,22,74,NA,NA,NA,NA,NA,Extremely likely,NA,Democrat,0,0,1,NA,Control,2021-08-21T12:53:51Z,66,22,NA
2021-08-21 12:55:54,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,32,67,38,Somewhat Satisfied,A great deal,NA,NA,NA,Extremely likely,NA,Democrat,0,1,0,0,Win,2021-08-21T12:55:54Z,32,67,Extremely likely
2021-08-21 12:23:12,Democrat,NA,NA,NA,NA,NA,Okay,81,35,45,NA,NA,NA,NA,NA,Extremely likely,NA,Democrat,0,0,1,NA,Control,2021-08-21T12:23:12Z,81,35,NA
2021-08-21 13:15:26,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,85,69,75,Neither Satisfied nor Dissatisfied,A great deal,NA,NA,NA,Neither likely nor unlikely,None,Democrat,0,1,0,0,Win,2021-08-21T13:15:26Z,85,69,Neither likely nor unlikely
2021-08-21 13:13:29,Democrat,NA,NA,NA,NA,NA,Okay,67,37,51,NA,NA,NA,NA,NA,Neither likely nor unlikely,good,Democrat,0,0,1,NA,Control,2021-08-21T13:13:29Z,67,37,NA
2021-08-21 13:18:36,Republican,NA,NA,NA,I understand. My candidate lost their primary.,NA,NA,10,60,45,Somewhat Satisfied,A little,Neither likely nor unlikely,NA,NA,NA,NA,Republican,1,0,0,1,Loss,2021-08-21T13:18:36Z,60,10,Neither likely nor unlikely
2021-08-21 13:09:07,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,85,41,33,Very Satisfied,A lot,NA,NA,NA,Somewhat likely,nice survey,Democrat,0,1,0,0,Win,2021-08-21T13:09:07Z,85,41,Somewhat likely
2021-08-21 12:49:54,Democrat,NA,NA,NA,NA,NA,Okay,58,6,38,NA,NA,NA,NA,NA,Somewhat likely,NA,Democrat,0,0,1,NA,Control,2021-08-21T12:49:54Z,58,6,NA
2021-08-21 13:33:37,Democrat,NA,NA,NA,NA,NA,Okay,100,0,51,NA,NA,NA,NA,NA,Extremely likely,NA,Democrat,0,0,1,NA,Control,2021-08-21T13:33:37Z,100,0,NA
2021-08-21 13:43:44,Independent,Neither Republican or Democrat,NA,NA,NA,NA,NA,18,18,87,Very Dissatisfied,Not at all,NA,NA,NA,NA,NA,Independent,0,0,0,0,NA,2021-08-21T13:43:44Z,NA,NA,NA
2021-08-21 14:12:11,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,85,75,85,Somewhat Satisfied,A little,NA,NA,NA,Somewhat likely,nice,Democrat,0,1,0,0,Win,2021-08-21T14:12:11Z,85,75,Somewhat likely
2021-08-21 14:13:07,Republican,NA,NA,NA,NA,NA,Okay,82,88,84,NA,NA,NA,Somewhat likely,NA,NA,GOOD,Republican,0,0,1,NA,Control,2021-08-21T14:13:07Z,88,82,NA
2021-08-21 14:14:23,Independent,Democratic,I understand. My candidate lost their primary.,NA,NA,NA,NA,50,50,85,Neither Satisfied nor Dissatisfied,A moderate amount,NA,NA,Somewhat unlikely,NA,none,Democrat,1,0,0,1,Loss,2021-08-21T14:14:23Z,50,50,Somewhat unlikely
2021-08-21 14:17:22,Democrat,NA,NA,NA,NA,NA,Okay,81,13,50,NA,NA,NA,NA,NA,Somewhat likely,none,Democrat,0,0,1,NA,Control,2021-08-21T14:17:22Z,81,13,NA
2021-08-21 14:16:03,Democrat,NA,NA,NA,NA,NA,Okay,80,42,60,NA,NA,NA,NA,NA,Somewhat likely,NONE,Democrat,0,0,1,NA,Control,2021-08-21T14:16:03Z,80,42,NA
2021-08-21 14:15:58,Independent,Republican,NA,NA,NA,NA,Okay,50,55,55,NA,NA,NA,Somewhat likely,NA,NA,none,Republican,0,0,1,NA,Control,2021-08-21T14:15:58Z,55,50,NA
2021-08-21 14:20:04,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,68,43,75,Somewhat Satisfied,A lot,NA,NA,Somewhat likely,NA,none,Democrat,1,0,0,1,Loss,2021-08-21T14:20:04Z,68,43,Somewhat likely
2021-08-21 14:22:04,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,69,78,63,Somewhat Satisfied,A lot,NA,NA,NA,Somewhat likely,NONE,Democrat,0,1,0,0,Win,2021-08-21T14:22:04Z,69,78,Somewhat likely
2021-08-21 15:30:12,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,85,65,44,Somewhat Satisfied,A lot,NA,NA,Somewhat likely,NA,None,Democrat,1,0,0,1,Loss,2021-08-21T15:30:12Z,85,65,Somewhat likely
2021-08-21 16:18:11,Republican,NA,NA,NA,I understand. My candidate lost their primary.,NA,NA,96,88,94,Very Satisfied,A great deal,Extremely likely,NA,NA,NA,good,Republican,1,0,0,1,Loss,2021-08-21T16:18:11Z,88,96,Extremely likely
2021-08-21 14:39:57,Independent,Neither Republican or Democrat,NA,NA,NA,NA,NA,76,35,51,Somewhat Satisfied,A moderate amount,NA,NA,NA,NA,No,Independent,0,0,0,0,NA,2021-08-21T14:39:57Z,NA,NA,NA
2021-08-21 17:03:30,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,100,23,21,Very Satisfied,A great deal,NA,NA,NA,Extremely likely,very interesting survey,Democrat,0,1,0,0,Win,2021-08-21T17:03:30Z,100,23,Extremely likely
2021-08-21 17:29:55,Republican,NA,NA,NA,NA,I understand. My candidate won their primary.,NA,7,98,50,Somewhat Dissatisfied,A lot,NA,Extremely likely,NA,NA,This survey was interesting.,Republican,0,1,0,0,Win,2021-08-21T17:29:55Z,98,7,NA
2021-08-21 19:03:24,Republican,NA,NA,NA,I understand. My candidate lost their primary.,NA,NA,51,81,59,Somewhat Satisfied,A moderate amount,Somewhat likely,NA,NA,NA,NA,Republican,1,0,0,1,Loss,2021-08-21T19:03:24Z,81,51,Somewhat likely
2021-08-21 20:13:50,Democrat,NA,NA,NA,NA,NA,Okay,71,59,72,NA,NA,NA,NA,NA,Somewhat likely,NA,Democrat,0,0,1,NA,Control,2021-08-21T20:13:50Z,71,59,NA
